CorrectClone	OldClone	matched_mother	matched_father
24708	24708	1863	2365
24709	24709	1863	2365
24710	24710	1863	2365
24711	24711	1863	2365
24712	24712	1863	2365
24713	24713	1863	2365
24714	24714	1863	2365
24715	24715	1863	2365
25950	25426	1863	2365
25951	25427	1863	2365
27074	26550	1863	2365
27077	26553	1863	2365
25281	24757	1909	2365
25282	24758	1909	2365
25283	24759	1909	2365
25284	24760	1909	2365
25287	24763	1909	2365
25289	24765	1909	2365
25296	24772	1909	2365
25297	24773	1909	2365
25301	24777	1909	2365
25302	24778	1909	2365
25305	24781	1909	2365
25306	24782	1909	2365
25307	24783	1909	2365
25308	24784	1909	2365
25309	24785	1909	2365
25317	24793	1909	2365
25318	24794	1909	2365
27229	26705	1909	2365
25395	24871	1950	2365
25397	24873	1950	2365
25398	24874	1950	2365
26107	25583	1950	2365
26110	25586	1950	2365
26112	25588	1950	2365
26114	25590	1950	2365
26115	25591	1950	2365
26117	25593	1950	2365
26119	25595	1950	2365
26124	25600	1950	2365
26126	25602	1950	2365
26137	25613	1950	2365
26138	25614	1950	2365
26146	25622	1950	2365
26149	25625	1950	2365
26155	25631	1950	2365
26160	25636	1950	2365
26986	26462	2048	2365
26998	26474	2048	2365
27006	26482	2048	2365
27023	26499	2048	2365
27024	26500	2048	2365
27027	26503	2048	2365
27029	26505	2048	2365
27030	26506	2048	2365
27033	26509	2048	2365
27034	26510	2048	2365
27035	26511	2048	2365
27038	26514	2048	2365
27043	26519	2048	2365
27044	26520	2048	2365
27047	26523	2048	2365
27048	26524	2048	2365
27061	26537	2048	2365
27064	26540	2048	2365
27065	26541	2048	2365
27068	26544	2048	2365
27069	26545	2048	2365
25900	25376	2066	2365
25904	25380	2066	2365
25906	25382	2066	2365
25907	25383	2066	2365
25908	25384	2066	2365
25910	25386	2066	2365
26426	25902	2066	2365
26879	26355	2066	2365
26881	26357	2066	2365
26942	26418	2066	2365
26946	26422	2066	2365
26947	26423	2066	2365
26948	26424	2066	2365
26951	26427	2066	2365
26963	26439	2066	2365
26967	26443	2066	2365
26970	26446	2066	2365
26971	26447	2066	2365
26478	25954	2283	2365
26479	25955	2283	2365
26480	25956	2283	2365
26481	25957	2283	2365
26486	25962	2283	2365
26488	25964	2283	2365
26490	25966	2283	2365
26491	25967	2283	2365
26493	25969	2283	2365
26495	25971	2283	2365
26497	25973	2283	2365
26499	25975	2283	2365
26503	25979	2283	2365
26507	25983	2283	2365
26511	25987	2283	2365
26512	25988	2283	2365
26514	25990	2283	2365
26515	25991	2283	2365
25724	25200	4593	2365
25725	25201	4593	2365
25726	25202	4593	2365
25729	25205	4593	2365
25730	25206	4593	2365
25731	25207	4593	2365
25732	25208	4593	2365
25733	25209	4593	2365
25734	25210	4593	2365
25735	25211	4593	2365
25736	25212	4593	2365
25737	25213	4593	2365
25738	25214	4593	2365
25739	25215	4593	2365
25740	25216	4593	2365
25741	25217	4593	2365
25742	25218	4593	2365
25743	25219	4593	2365
26764	26240	4593	2365
26769	26245	4593	2365
